Trait,R_overall,sd,2.5%,97.5%,Trait_Sex
FBgn0000064,-0.037988275,0.06298952184493867,-0.16390418,0.08437811375,Female
FBgn0000071,-0.04023935,0.06275615991706966,-0.16447582625,0.08105671124999998,Female
FBgn0000075,0.0052323475,0.06330533379430717,-0.12028256062499998,0.1278494387499999,Female
FBgn0000077,-0.08572442499999999,0.06299328271108003,-0.20862349875,0.038649552499999955,Female
FBgn0000078,-0.040480894899999995,0.0628824220632913,-0.16490890149999998,0.08199268199999986,Female
FBgn0000079,-0.061434276,0.06235592288656109,-0.183783,0.060937744999999995,Female
FBgn0000083,-0.118665125,0.06332675000965841,-0.2388169625,0.007434044374999966,Female
FBgn0000084,0.019151280000000003,0.06378325970287611,-0.10916157875000002,0.14330616749999994,Female
FBgn0000092,0.1031117,0.062342123499257746,-0.021727924999999995,0.22310202499999995,Female
FBgn0000094,-0.0437421,0.06469975723070122,-0.16977958750000002,0.08131608374999999,Female
